naics_code,feature_name
611699,all_other_miscellaneous_schools_and_instruction
611710,educational_support_services
621111,offices_of_physicians_except_mental_health_specialists
621112,offices_of_physicians_mental_health_specialists
621210,offices_of_dentists
621310,offices_of_chiropractors
621320,offices_of_optometrists
621330,offices_of_mental_health_practitioners_except_physicians
621340,offices_of_physical_occupational_and_speech_therapists_and_audiologists
621399,offices_of_all_other_miscellaneous_health_practitioners
621410,family_planning_centers
621492,kidney_dialysis_centers
621493,freestanding_ambulatory_surgical_and_emergency_centers
621498,all_other_outpatient_care_centers
621511,medical_laboratories
621512,diagnostic_imaging_centers
621610,home_health_care_services
621991,blood_and_organ_banks
621999,all_other_miscellaneous_ambulatory_health_care_services
622110,general_medical_and_surgical_hospitals
622310,specialty_except_psychiatric_and_substance_abuse_hospitals
623110,nursing_care_facilities_skilled_nursing_facilities
623312,assisted_living_facilities_for_the_elderly
624110,child_and_youth_services
624120,services_for_the_elderly_and_persons_with_disabilities
624190,other_individual_and_family_services
624410,child_day_care_services
711110,theater_companies_and_dinner_theaters
711190,other_performing_arts_companies
711211,sports_teams_and_clubs
711219,other_spectator_sports
711310,promoters_of_performing_arts_sports_and_similar_events_with_facilities
711510,independent_artists_writers_and_performers
712110,museums
712120,historical_sites
712190,nature_parks_and_other_similar_institutions
713110,amusement_and_theme_parks
713120,amusement_arcades
713210,casinos_except_casino_hotels
713910,golf_courses_and_country_clubs
713920,skiing_facilities
713940,fitness_and_recreational_sports_centers
713950,bowling_centers
713990,all_other_amusement_and_recreation_industries
721110,hotels_except_casino_hotels_and_motels
721120,casino_hotels
721211,rv_recreational_vehicle_parks_and_campgrounds
722320,caterers
722410,drinking_places_alcoholic_beverages
722511,full_service_restaurants
722513,limited_service_restaurants
722514,cafeterias_grill_buffets_and_buffets
722515,snack_and_nonalcoholic_beverage_bars
811111,general_automotive_repair
811113,automotive_transmission_repair
811118,other_automotive_mechanical_and_electrical_repair_and_maintenance
811121,automotive_body_paint_and_interior_repair_and_maintenance
811122,automotive_glass_replacement_shops
811191,automotive_oil_change_and_lubrication_shops
811192,car_washes
811198,all_other_automotive_repair_and_maintenance
811212,computer_and_office_machine_repair_and_maintenance
811219,other_electronic_and_precision_equipment_repair_and_maintenance
811411,home_and_garden_equipment_repair_and_maintenance
811420,reupholstery_and_furniture_repair
811430,footwear_and_leather_goods_repair
812111,barber_shops
812112,beauty_salons
812113,nail_salons
812191,diet_and_weight_reducing_centers
812199,other_personal_care_services
812210,funeral_homes_and_funeral_services
812220,cemeteries_and_crematories
812320,drycleaning_and_laundry_services_except_coin_operated
812910,pet_care_except_veterinary_services
812930,parking_lots_and_garages
812990,all_other_personal_services
813110,religious_organizations
813212,voluntary_health_organizations
813219,other_grantmaking_and_giving_services
813990,other_similar_organizations_except_business_professional_labor_and_political_organizations
921190,other_general_government_support
922120,police_protection
922140,correctional_institutions
922160,fire_protection
923140,administration_of_veterans_affairs
926120,regulation_and_administration_of_transportation_programs
928120,international_affairs
